From	To	Species	Gene Name
ENSMMUG00000003187	LOC715948	Macaca mulatta	high mobility group protein B2 pseudogene(LOC715948)
ENSMMUG00000008236	PPM1M	Macaca mulatta	protein phosphatase, Mg2+/Mn2+ dependent 1M(PPM1M)
ENSMMUG00000020275	hirip3	Macaca mulatta	HIRA interacting protein 3(HIRIP3)
ENSMMUG00000012493	TM9SF1	Macaca mulatta	transmembrane 9 superfamily member 1(TM9SF1)
ENSMMUG00000031449	ZCWPW2	Macaca mulatta	zinc finger CW-type and PWWP domain containing 2(ZCWPW2)
ENSMMUG00000000249	CAPNS1	Macaca mulatta	calpain small subunit 1(CAPNS1)
ENSMMUG00000012291	PAXBP1	Macaca mulatta	PAX3 and PAX7 binding protein 1(PAXBP1)
ENSMMUG00000005822	LOC698724	Macaca mulatta	ribonuclease UK114(LOC698724)
ENSMMUG00000000037	ISG20L2	Macaca mulatta	interferon stimulated exonuclease gene 20 like 2(ISG20L2)
ENSMMUG00000003874	CTSD	Macaca mulatta	cathepsin D(CTSD)
ENSMMUG00000008440	LOC702183	Macaca mulatta	germ cell-less protein-like 1(LOC702183)
ENSMMUG00000007064	NEURL1	Macaca mulatta	neuralized E3 ubiquitin protein ligase 1(NEURL1)
ENSMMUG00000011435	LOC699676	Macaca mulatta	left-right determination factor 2(LOC699676)
ENSMMUG00000020286	TSPYL5	Macaca mulatta	TSPY like 5(TSPYL5)
ENSMMUG00000005293	GPANK1	Macaca mulatta	G-patch domain and ankyrin repeats 1(GPANK1)
ENSMMUG00000011434	PYCR2	Macaca mulatta	pyrroline-5-carboxylate reductase family member 2(PYCR2)
ENSMMUG00000000439	LOC715795	Macaca mulatta	solute carrier family 2, facilitated glucose transporter member 3(LOC715795)
ENSMMUG00000021534	SLC16A10	Macaca mulatta	solute carrier family 16 member 10(SLC16A10)
ENSMMUG00000017375	CMPK1	Macaca mulatta	cytidine/uridine monophosphate kinase 1(CMPK1)
ENSMMUG00000003868	B3GALT4	Macaca mulatta	beta-1,3-galactosyltransferase 4(B3GALT4)
ENSMMUG00000030326	LOC717105	Macaca mulatta	interferon-induced transmembrane protein 3(LOC717105)
ENSMMUG00000014911	FBXO41	Macaca mulatta	F-box protein 41(FBXO41)
ENSMMUG00000031451	GOLGA3	Macaca mulatta	golgin A3(GOLGA3)
ENSMMUG00000023474	IREB2	Macaca mulatta	iron responsive element binding protein 2(IREB2)
ENSMMUG00000005007	SLC39A1	Macaca mulatta	solute carrier family 39 member 1(SLC39A1)
ENSMMUG00000017768	PPID	Macaca mulatta	peptidylprolyl isomerase D(PPID)
ENSMMUG00000006166	LOC699016	Macaca mulatta	long-wave-sensitive opsin 1(LOC699016)
ENSMMUG00000009702	MSH5	Macaca mulatta	mutS homolog 5(MSH5)
ENSMMUG00000009709	LOC715461	Macaca mulatta	transmembrane protein 102(LOC715461)
ENSMMUG00000018472	CWF19L1	Macaca mulatta	CWF19-like 1, cell cycle control (S. pombe)(CWF19L1)
ENSMMUG00000009117	HTRA1	Macaca mulatta	HtrA serine peptidase 1(HTRA1)
ENSMMUG00000028937	LOC698383	Macaca mulatta	40S ribosomal protein S8 pseudogene(LOC698383)
ENSMMUG00000018474	LOC715954	Macaca mulatta	signal-regulatory protein beta-1 isoform 3(LOC715954)
ENSMMUG00000000050	RPL35A	Macaca mulatta	ribosomal protein L35a(RPL35A)
ENSMMUG00000020941	LOC693438	Macaca mulatta	heat shock 60kDa protein 1 (chaperonin)-like(LOC693438)
ENSMMUG00000018470	ERLIN1	Macaca mulatta	ER lipid raft associated 1(ERLIN1)
ENSMMUG00000022914	RABL2B	Macaca mulatta	RAB, member of RAS oncogene family-like 2B(RABL2B)
ENSMMUG00000021539	LOC719082	Macaca mulatta	WASH complex subunit FAM21A(LOC719082)
ENSMMUG00000011604	RPA1	Macaca mulatta	replication protein A1(RPA1)
ENSMMUG00000014947	LOC709678	Macaca mulatta	60S ribosomal protein L34 pseudogene(LOC709678)
ENSMMUG00000029550	LOC717080	Macaca mulatta	protein S100-A11(LOC717080)
ENSMMUG00000006937	SNRPD2	Macaca mulatta	small nuclear ribonucleoprotein D2 polypeptide(SNRPD2)
ENSMMUG00000017760	FAM64A	Macaca mulatta	family with sequence similarity 64 member A(FAM64A)
ENSMMUG00000009500	LONRF1	Macaca mulatta	LON peptidase N-terminal domain and ring finger 1(LONRF1)
ENSMMUG00000020092	LOC100430606	Macaca mulatta	Ig lambda-6 chain C region-like(LOC100430606)
ENSMMUG00000009710	AP1S3	Macaca mulatta	adaptor related protein complex 1 sigma 3 subunit(AP1S3)
ENSMMUG00000009716	RRP7A	Macaca mulatta	ribosomal RNA processing 7 homolog A(RRP7A)
ENSMMUG00000028941	LOC696935	Macaca mulatta	lactate dehydrogenase B-like(LOC696935)
ENSMMUG00000007805	LIMCH1	Macaca mulatta	LIM and calponin homology domains 1(LIMCH1)
ENSMMUG00000011417	GLOD4	Macaca mulatta	glyoxalase domain containing 4(GLOD4)
ENSMMUG00000018482	UBE2F	Macaca mulatta	ubiquitin conjugating enzyme E2 F (putative)(UBE2F)
